id,prompt,intents,timestamp,confidence_avg,validated,feedback_notes
intent_20260107_160654_658077,Forecast accident rates for the holiday season.,"['report_generation', 'traffic_forecasting', 'incident_detection', 'meta_attributes', 'causal_analysis', 'spatio_temporal']",2026-01-07T16:06:54.658077,0.6087423413991928,True,User corrected intents
intent_20260107_160630_049418,Predict congestion levels for Friday,"['traffic_forecasting', 'meta_attributes', 'traffic_impact']",2026-01-07T16:06:30.049418,0.6023347611938205,True,User confirmed predictions as correct
intent_20260107_160005_953366,Generate incident statistics for December.,"['report_generation', 'incident_classification', 'incident_detection', 'meta_attributes']",2026-01-07T16:00:05.953366,0.5773173783506665,True,User corrected intents
intent_20260107_155940_784141,Show me a bar chart of incidents by road.,"['report_generation', 'visualization', 'incident_classification']",2026-01-07T15:59:40.784141,0.6007203608751297,True,User confirmed predictions as correct
intent_20260107_155813_596382,Unusual congestion detected on highway?,"['causal_analysis', 'traffic_impact', 'meta_attributes', 'spatio_temporal', 'traffic_anomaly']",2026-01-07T15:58:13.596382,0.6743294617959431,True,User confirmed predictions as correct
intent_20260107_155804_036295,Incidents that required emergency response.,"['incident_detection', 'incident_classification', 'report_generation']",2026-01-07T15:58:04.036295,0.6051333738224847,True,User confirmed predictions as correct
intent_20260107_155733_021171,Traffic incidents in Jurong East last Monday.,"['incident_detection', 'spatio_temporal', 'traffic_impact', 'causal_analysis', 'meta_attributes']",2026-01-07T15:57:33.021171,0.6848008760384151,True,User confirmed predictions as correct
intent_20260107_155649_320677,List road accidents in downtown area.,"['incident_detection', 'visualization', 'meta_attributes', 'incident_classification', 'report_generation']",2026-01-07T15:56:49.320677,0.6979729916368212,True,User confirmed predictions as correct
intent_20260107_112536_005378,Generate a report of traffic violations which happened yesterday near Highway 5,"['meta_attributes', 'visualization', 'report_generation', 'incident_detection', 'traffic_impact']",2026-01-07T11:25:36.006378,0.7033482619694301,True,User confirmed predictions as correct
intent_20260107_112118_666728,generate a pie chart for the traffic violations which happened yesterday for all the highways.,"['report_generation', 'visualization', 'incident_detection', 'spatio_temporal']",2026-01-07T11:21:18.666728,0.632460219519479,True,User corrected intents
intent_20260106_181004_113573,Generate a report of traffic violations,"['report_generation', 'visualization', 'incident_detection', 'incident_classification']",2026-01-06T18:10:04.113573,0.6247697344848088,True,User corrected intents
intent_20260106_180902_622984,Show me accidents on Highway 1 last week,"['incident_detection', 'report_generation', 'visualization', 'meta_attributes', 'incident_classification']",2026-01-06T18:09:02.622984,0.7037829245839801,True,User confirmed predictions as correct
intent_20260106_180042_344973,Analyze the crashes which happened on the Woodlands Causeway.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'visualization', 'meta_attributes']",2026-01-06T18:00:42.344973,0.6755646467208862,True,User corrected intents
intent_20260106_175730_875977,Analyze the crashes which happened on the Woodlands Causeway.,"['incident_detection', 'visualization', 'incident_classification', 'spatio_temporal', 'meta_attributes']",2026-01-06T17:57:30.875977,0.6709260046482086,True,User corrected intents
intent_20260106_175512_911201,"This afternoon, near junction 3 , a severe accident happened. Based on the severity, predict the traffic impact and how long will it take to normalize.","['traffic_impact', 'causal_analysis', 'incident_detection', 'meta_attributes', 'incident_classification']",2026-01-06T17:55:12.911201,0.6641584230320794,True,User confirmed predictions as correct
intent_20260106_175319_329741,What type of vehicles were involved in the accident which happened this afternoon near Science Centre?,"['incident_detection', 'spatio_temporal', 'vehicle_type', 'vehicle_detection']",2026-01-06T17:53:19.329741,0.6819780937262944,True,"User corrected intents. Non-canonical: ['vehicle_type', 'vehicle_detection']"
intent_20260106_175217_132849,Predict the congestion levels for Friday.,"['traffic_forecasting', 'traffic_impact', 'meta_attributes']",2026-01-06T17:52:17.132849,0.585585498384067,True,User confirmed predictions as correct
intent_20260106_175120_542904,What category does this crash belong to ?,"['incident_classification', 'incident_detection']",2026-01-06T17:51:20.542904,0.6105287330491203,True,User corrected intents
intent_20260106_174836_081255,create a heatmap of accident hotspots for the past year.,"['visualization', 'incident_detection', 'spatio_temporal']",2026-01-06T17:48:36.081255,0.6048024488346917,True,User corrected intents
intent_20260106_173842_564046,create a heatmap of accident hotspots for the past year.,"['visualization', 'incident_detection', 'spatio_temporal']",2026-01-06T17:38:42.564046,0.5980481292520251,True,User corrected intents
intent_20260106_173737_423469," ""create a heatmap of accident hotspots for the past year.""","['visualization', 'incident_detection', 'spatio_temporal']",2026-01-06T17:37:37.423469,0.67450521673475,True,User corrected intents
intent_20260106_173453_420906,what type of vehicles were involved in the accident which occurred in AYE area?,"['incident_detection', 'spatio_temporal', 'causal_analysis', 'vehicle_detection', 'vehicle_type']",2026-01-06T17:34:53.420906,0.6878643163612911,True,"User corrected intents. Non-canonical: ['vehicle_detection', 'vehicle_type']"
intent_20260106_172850_789232,How long was the traffic blocked after the accident which occurred this afternoon near Westgate mall ?,"['causal_analysis', 'incident_detection', 'traffic_impact']",2026-01-06T17:28:50.789232,0.6402891193117414,True,User confirmed predictions as correct
intent_20260106_172720_461577,Which road has the most traffic violations today ?,"['meta_attributes', 'incident_detection', 'traffic_impact']",2026-01-06T17:27:20.461577,0.6743647711617606,True,User confirmed predictions as correct
intent_20260106_172339_474699,Which road has the most traffic violations today ?,"['meta_attributes', 'incident_detection', 'traffic_impact', 'visualization', 'spatio_temporal']",2026-01-06T17:23:39.474699,0.6743647711617606,True,User confirmed predictions as correct
intent_20260106_172241_298099,What category does this crash belong to ?,['incident_classification'],2026-01-06T17:22:41.298099,0.6017831010477883,True,User corrected intents
intent_20260106_172105_887105,How long was the traffic blocked after the accident which occurred this afternoon near JEM mall? ,"['causal_analysis', 'traffic_impact', 'incident_detection', 'spatio_temporal', 'meta_attributes']",2026-01-06T17:21:05.887105,0.646741236959185,True,User corrected intents
