id,prompt,intents,timestamp,confidence_avg,validated,feedback_notes
intent_20251230_103541_159741,give me the road with the max number of accidents yesterday.,"['accident_prone_roads', 'graph_generation']",2025-12-30T10:35:41.159741,0.7124068140983582,False,
intent_20251230_102214_298695,give me the no of accidents which occured in AYE road last week ,"['incident_detection', 'spatio_temporal']",2025-12-30T10:22:14.298695,0.6571734775515163,False,
intent_20251230_101457_747046,give me the no of accidents which occured in PIE road last week ,['incident_detection'],2025-12-30T10:14:57.747046,0.6226485056035659,False,
intent_20251224_123649_267348,give me the road with max no of accidents in last one week ,['accident_prone_roads'],2025-12-24T12:36:49.267348,0.6062795958098244,False,
intent_20251224_120925_747306,give me the road with max no of accidents in last one week ,['visualization'],2025-12-24T12:09:25.747306,0.5803816050291062,False,
intent_20251224_120812_062870,using the daataset uploaded get me the graph for more frequent accident prone roads along with the timings,['visualization'],2025-12-24T12:08:12.062870,0.6520536959171295,False,
intent_20251224_113532_238727,using the daataset uploaded get me the graph for more frequent accident prone roads along with the timings,"['graph_generation', 'accident_prone_roads', 'timings']",2025-12-24T11:35:32.238727,0.6520536959171295,False,
intent_20251224_113426_817830,using the daataset uploaded get me the graph for more frequent accident prone roads along with the timings,"['visualization', 'incident_detection']",2025-12-24T11:34:26.817830,0.6520536959171295,False,
intent_20251224_113327_583969,using the daataset uploaded get me the graph for more frequent accident prone roads along with the timings,"['graph generation', 'accident_prone_roads']",2025-12-24T11:33:27.583969,0.6520536959171295,False,
intent_20251219_165613_033972,"in this dataset, what is the average number of accidents detected, but don not give me the all the numbers, just the average number ",['average_number_of_accidents'],2025-12-19T16:56:13.033972,0.5975734412670135,False,
intent_20251219_164605_574277,"in this dataset, what is the average number of accidents detected, but don not give me the all the numbers, just the average number ",['average_number_of_accidents'],2025-12-19T16:46:05.574277,0.5975734412670135,False,
intent_20251219_164225_800968,"in this dataset, find the dates where most of the accidents happended","['date_filtering', 'accident_count']",2025-12-19T16:42:25.800968,0.5404823929071426,False,
intent_20251219_164054_330945,generate a report for this attached dataset,['report_generation'],2025-12-19T16:40:54.330945,0.4763015598058701,False,
intent_20251219_163527_360570,generate a report for this attached dataset,['report_generation'],2025-12-19T16:35:27.360570,0.41610127025180393,False,
intent_20251219_163306_206472,generate a report for this attached dataset,['report_generation'],2025-12-19T16:33:06.206472,0.41610127025180393,False,
intent_20251219_161921_952753,generate a report for this attached dataset,['visualization'],2025-12-19T16:19:21.952753,0.41610127025180393,False,
intent_20251219_161724_074630,get the report and  dashboard for this dataset,['visualization'],2025-12-19T16:17:24.074630,0.39295445879300434,False,
intent_20251219_161642_490555,get the report and  dashboard for this dataset,['visualization'],2025-12-19T16:16:42.490555,0.39295445879300434,False,
intent_20251219_154809_521681,get the regular dashboard for this dataset,['visualization'],2025-12-19T15:48:09.521681,0.38003210557831657,False,
intent_20251219_154435_132645,get the regular dashboard for this dataset,['visualization'],2025-12-19T15:44:35.132645,0.3824604352315267,False,
